Concepto,Format,Nombre,UM,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024
Producción y ventas,,Refinado,(Tn)," 478,887.00 "," 677,288.81 "," 671,293.78 "," 704,418.00 "," 735,610.00 "," 806,048.00 "," 823,452.00 "," 817,794.00 "," 821,187.00 "," 783,354.00 "," 806,162.00 "," 785,936.00 "," 834,914.00 "," 798,328.00 "," 789,176.00 "
Producción y ventas,,Ventas,(Tn)," 501,701.00 "," 598,953.00 "," 641,664.00 "," 627,032.00 "," 656,802.00 "," 737,457.00 "," 872,655.00 "," 888,686.00 "," 885,854.00 "," 986,024.00 "," 1,045,953.00 "," 931,172.00 "," 871,076.00 "," 889,858.00 "," 938,528.00 "
Producción y ventas,Subheader,Molibdeno,,,,,,,,,,,,,,,,
Producción y ventas,,Minado,(Tn)," 20,519.00 "," 18,570.00 "," 18,298.00 "," 19,897.00 "," 23,121.00 "," 23,348.00 "," 21,736.00 "," 21,328.00 "," 21,985.00 "," 26,886.00 "," 30,249.00 "," 30,262.00 "," 26,240.00 "," 26,836.00 "," 28,997.00 "
Producción y ventas,,Ventas,(Tn)," 20,509.00 "," 18,635.00 "," 18,220.00 "," 19,940.00 "," 23,150.00 "," 23,205.00 "," 21,732.00 "," 21,358.00 "," 22,055.00 "," 26,849.00 "," 30,258.00 "," 30,319.00 "," 26,265.00 "," 26,876.00 "," 29,011.00 "
Producción y ventas,Subheader,Zinc,,,,,,,,,,,,,,,,
Producción y ventas,,Minado,(Tn)," 99,194.00 "," 83,807.00 "," 89,884.00 "," 99,372.00 "," 66,614.00 "," 61,905.00 "," 73,984.00 "," 68,665.00 "," 70,778.00 "," 73,922.00 "," 68,930.00 "," 66,958.00 "," 60,010.00 "," 65,509.00 "," 130,011.00 "
Producción y ventas,,Refinado,(Tn)," 95,072.00 "," 90,869.00 "," 93,542.00 "," 97,692.00 "," 92,133.00 "," 100,576.00 "," 106,093.00 "," 104,402.00 "," 107,536.00 "," 104,977.00 "," 102,440.00 "," 92,672.00 "," 99,893.00 "," 101,013.00 "," 98,763.00 "
Producción y ventas,,Ventas,(Tn)," 93,961.00 "," 90,664.00 "," 93,392.00 "," 99,127.00 "," 91,387.00 "," 100,769.00 "," 105,415.00 "," 107,572.00 "," 106,483.00 "," 103,668.00 "," 104,752.00 "," 159,630.00 "," 101,140.00 "," 99,677.00 "," 144,139.00 "
Producción y ventas,Subheader,Plata,,,,,,,,,,,,,,,,
Producción y ventas,,Minado,(Koz)," 12,646.00 "," 12,731.00 "," 13,644.00 "," 13,513.00 "," 12,992.00 "," 13,288.00 "," 16,172.00 "," 15,926.00 "," 17,308.00 "," 20,273.00 "," 21,540.00 "," 589,796.00 "," 577,357.00 "," 572,533.00 "," 652,657.00 "
Producción y ventas,,Refinado,(Koz)," 13,243.00 "," 12,590.00 "," 13,867.00 "," 15,573.00 "," 13,348.00 "," 13,638.00 "," 15,196.00 "," 13,688.00 "," 13,583.00 "," 12,588.00 "," 13,888.00 "," 425,823.00 "," 443,905.00 "," 339,863.00 "," 373,209.00 "
Producción y ventas,,Ventas,(Koz)," 15,450.00 "," 14,161.00 "," 16,232.00 "," 16,582.00 "," 14,552.00 "," 14,477.00 "," 17,216.00 "," 16,859.00 "," 19,440.00 "," 20,550.00 "," 22,366.00 "," 597,324.00 "," 585,894.87 "," 560,500.82 "," 648,253.51 "
